x,y,theta
-1.03971,-0.13934,0.0
-1.03971,-0.12862,0.0
-1.03971,-0.11791,0.0
-1.03971,-0.10719,0.0
-1.03971,-0.09647,0.0
-1.03971,-0.08575,0.0
-1.03971,-0.07503,0.0
-1.03971,-0.06431,0.0
-1.03971,-0.05359,0.0
-1.03971,-0.04287,0.0
-1.03971,-0.03216,0.0
-1.03971,-0.02144,0.0
-1.03971,-0.01072,0.0
-1.03971,0,0.0
-1.03971,0.01072,0.0
-1.03971,0.02144,0.0
-1.03971,0.03216,0.0
-1.03971,0.04287,0.0
-1.03971,0.05359,0.0
-1.03971,0.06431,0.0
-1.03971,0.07503,0.0
-1.03971,0.08575,0.0
-1.03971,0.09647,0.0
-1.03971,0.10719,0.0
-1.03971,0.11791,0.0
-1.03971,0.12862,0.0
-1.03971,0.13934,0.0
-1.029,-0.20366,0.0
-1.029,-0.19294,0.0
-1.029,-0.18222,0.0
-1.029,-0.1715,0.0
-1.029,-0.16078,0.0
-1.029,-0.15006,0.0
-1.029,-0.13934,0.0
-1.029,-0.12862,0.0
-1.029,-0.11791,0.0
-1.029,-0.10719,0.0
-1.029,-0.09647,0.0
-1.029,-0.08575,0.0
-1.029,-0.07503,0.0
-1.029,-0.06431,0.0
-1.029,-0.05359,0.0
-1.029,-0.04287,0.0
-1.029,-0.03216,0.0
-1.029,-0.02144,0.0
-1.029,-0.01072,0.0
-1.029,0,0.0
-1.029,0.01072,0.0
-1.029,0.02144,0.0
-1.029,0.03216,0.0
-1.029,0.04287,0.0
-1.029,0.05359,0.0
-1.029,0.06431,0.0
-1.029,0.07503,0.0
-1.029,0.08575,0.0
-1.029,0.09647,0.0
-1.029,0.10719,0.0
-1.029,0.11791,0.0
-1.029,0.12862,0.0
-1.029,0.13934,0.0
-1.029,0.15006,0.0
-1.029,0.16078,0.0
-1.029,0.1715,0.0
-1.029,0.18222,0.0
-1.029,0.19294,0.0
-1.029,0.20366,0.0
-1.01828,-0.24653,0.0
-1.01828,-0.23581,0.0
-1.01828,-0.22509,0.0
-1.01828,-0.21437,0.0
-1.01828,-0.20366,0.0
-1.01828,-0.19294,0.0
-1.01828,-0.18222,0.0
-1.01828,-0.1715,0.0
-1.01828,-0.16078,0.0
-1.01828,-0.15006,0.0
-1.01828,-0.13934,0.0
-1.01828,-0.12862,0.0
-1.01828,-0.11791,0.0
-1.01828,-0.10719,0.0
-1.01828,-0.09647,0.0
-1.01828,-0.08575,0.0
-1.01828,-0.07503,0.0
-1.01828,-0.06431,0.0
-1.01828,-0.05359,0.0
-1.01828,-0.04287,0.0
-1.01828,-0.03216,0.0
-1.01828,-0.02144,0.0
-1.01828,-0.01072,0.0
-1.01828,0,0.0
-1.01828,0.01072,0.0
-1.01828,0.02144,0.0
-1.01828,0.03216,0.0
-1.01828,0.04287,0.0
-1.01828,0.05359,0.0
-1.01828,0.06431,0.0
-1.01828,0.07503,0.0
-1.01828,0.08575,0.0
-1.01828,0.09647,0.0
-1.01828,0.10719,0.0
-1.01828,0.11791,0.0
-1.01828,0.12862,0.0
-1.01828,0.13934,0.0
-1.01828,0.15006,0.0
-1.01828,0.16078,0.0
-1.01828,0.1715,0.0
-1.01828,0.18222,0.0
-1.01828,0.19294,0.0
-1.01828,0.20366,0.0
-1.01828,0.21437,0.0
-1.01828,0.22509,0.0
-1.01828,0.23581,0.0
-1.01828,0.24653,0.0
-1.00756,-0.2894,0.0
-1.00756,-0.27869,0.0
-1.00756,-0.26797,0.0
-1.00756,-0.25725,0.0
-1.00756,-0.24653,0.0
-1.00756,-0.23581,0.0
-1.00756,-0.22509,0.0
-1.00756,-0.21437,0.0
-1.00756,-0.20366,0.0
-1.00756,-0.19294,0.0
-1.00756,-0.18222,0.0
-1.00756,-0.1715,0.0
-1.00756,-0.16078,0.0
-1.00756,-0.15006,0.0
-1.00756,-0.13934,0.0
-1.00756,-0.12862,0.0
-1.00756,-0.11791,0.0
-1.00756,-0.10719,0.0
-1.00756,-0.09647,0.0
-1.00756,-0.08575,0.0
-1.00756,-0.07503,0.0
-1.00756,-0.06431,0.0
-1.00756,-0.05359,0.0
-1.00756,-0.04287,0.0
