x,y,theta
-2.77257,-0.37158,0.0
-2.77257,-0.343,0.0
-2.77257,-0.31442,0.0
-2.77257,-0.28583,0.0
-2.77257,-0.25725,0.0
-2.77257,-0.22867,0.0
-2.77257,-0.20008,0.0
-2.77257,-0.1715,0.0
-2.77257,-0.14292,0.0
-2.77257,-0.11433,0.0
-2.77257,-0.08575,0.0
-2.77257,-0.05717,0.0
-2.77257,-0.02858,0.0
-2.77257,0,0.0
-2.77257,0.02858,0.0
-2.77257,0.05717,0.0
-2.77257,0.08575,0.0
-2.77257,0.11433,0.0
-2.77257,0.14292,0.0
-2.77257,0.1715,0.0
-2.77257,0.20008,0.0
-2.77257,0.22867,0.0
-2.77257,0.25725,0.0
-2.77257,0.28583,0.0
-2.77257,0.31442,0.0
-2.77257,0.343,0.0
-2.77257,0.37158,0.0
-2.74399,-0.54308,0.0
-2.74399,-0.5145,0.0
-2.74399,-0.48591,0.0
-2.74399,-0.45733,0.0
-2.74399,-0.42875,0.0
-2.74399,-0.40016,0.0
-2.74399,-0.37158,0.0
-2.74399,-0.343,0.0
-2.74399,-0.31442,0.0
-2.74399,-0.28583,0.0
-2.74399,-0.25725,0.0
-2.74399,-0.22867,0.0
-2.74399,-0.20008,0.0
-2.74399,-0.1715,0.0
-2.74399,-0.14292,0.0
-2.74399,-0.11433,0.0
-2.74399,-0.08575,0.0
-2.74399,-0.05717,0.0
-2.74399,-0.02858,0.0
-2.74399,0,0.0
-2.74399,0.02858,0.0
-2.74399,0.05717,0.0
-2.74399,0.08575,0.0
-2.74399,0.11433,0.0
-2.74399,0.14292,0.0
-2.74399,0.1715,0.0
-2.74399,0.20008,0.0
-2.74399,0.22867,0.0
-2.74399,0.25725,0.0
-2.74399,0.28583,0.0
-2.74399,0.31442,0.0
-2.74399,0.343,0.0
-2.74399,0.37158,0.0
-2.74399,0.40016,0.0
-2.74399,0.42875,0.0
-2.74399,0.45733,0.0
-2.74399,0.48591,0.0
-2.74399,0.5145,0.0
-2.74399,0.54308,0.0
-2.7154,-0.65741,0.0
-2.7154,-0.62883,0.0
-2.7154,-0.60025,0.0
-2.7154,-0.57166,0.0
-2.7154,-0.54308,0.0
-2.7154,-0.5145,0.0
-2.7154,-0.48591,0.0
-2.7154,-0.45733,0.0
-2.7154,-0.42875,0.0
-2.7154,-0.40016,0.0
-2.7154,-0.37158,0.0
-2.7154,-0.343,0.0
-2.7154,-0.31442,0.0
-2.7154,-0.28583,0.0
-2.7154,-0.25725,0.0
-2.7154,-0.22867,0.0
-2.7154,-0.20008,0.0
-2.7154,-0.1715,0.0
-2.7154,-0.14292,0.0
-2.7154,-0.11433,0.0
-2.7154,-0.08575,0.0
-2.7154,-0.05717,0.0
-2.7154,-0.02858,0.0
-2.7154,0,0.0
-2.7154,0.02858,0.0
-2.7154,0.05717,0.0
-2.7154,0.08575,0.0
-2.7154,0.11433,0.0
-2.7154,0.14292,0.0
-2.7154,0.1715,0.0
-2.7154,0.20008,0.0
-2.7154,0.22867,0.0
-2.7154,0.25725,0.0
-2.7154,0.28583,0.0
-2.7154,0.31442,0.0
-2.7154,0.343,0.0
-2.7154,0.37158,0.0
-2.7154,0.40016,0.0
-2.7154,0.42875,0.0
-2.7154,0.45733,0.0
-2.7154,0.48591,0.0
-2.7154,0.5145,0.0
-2.7154,0.54308,0.0
-2.7154,0.57166,0.0
-2.7154,0.60025,0.0
-2.7154,0.62883,0.0
-2.7154,0.65741,0.0
-2.68682,-0.77175,0.0
-2.68682,-0.74316,0.0
-2.68682,-0.71458,0.0
-2.68682,-0.686,0.0
-2.68682,-0.65741,0.0
-2.68682,-0.62883,0.0
-2.68682,-0.60025,0.0
-2.68682,-0.57166,0.0
-2.68682,-0.54308,0.0
-2.68682,-0.5145,0.0
-2.68682,-0.48591,0.0
-2.68682,-0.45733,0.0
-2.68682,-0.42875,0.0
-2.68682,-0.40016,0.0
-2.68682,-0.37158,0.0
-2.68682,-0.343,0.0
-2.68682,-0.31442,0.0
-2.68682,-0.28583,0.0
-2.68682,-0.25725,0.0
-2.68682,-0.22867,0.0
-2.68682,-0.20008,0.0
-2.68682,-0.1715,0.0
-2.68682,-0.14292,0.0
-2.68682,-0.11433,0.0
-2.68682,-0.08575,0.0
-2.68682,-0.05717,0.0
-2.68682,-0.02858,0.0
-2.68682,0,0.0
-2.68682,0.02858,0.0
-2.68682,0.05717,0.0
-2.68682,0.08575,0.0
-2.68682,0.11433,0.0
-2.68682,0.14292,0.0
-2.68682,0.1715,0.0
-2.68682,0.20008,0.0
-2.68682,0.22867,0.0
-2.68682,0.25725,0.0
-2.68682,0.28583,0.0
-2.68682,0.31442,0.0
-2.68682,0.343,0.0
-2.68682,0.37158,0.0
-2.68682,0.40016,0.0
-2.68682,0.42875,0.0
-2.68682,0.45733,0.0
-2.68682,0.48591,0.0
-2.68682,0.5145,0.0
-2.68682,0.54308,0.0
-2.68682,0.57166,0.0
-2.68682,0.60025,0.0
-2.68682,0.62883,0.0
-2.68682,0.65741,0.0
-2.68682,0.686,0.0
-2.68682,0.71458,0.0
-2.68682,0.74316,0.0
-2.68682,0.77175,0.0
-2.65824,-0.8575,0.0
-2.65824,-0.82891,0.0
-2.65824,-0.80033,0.0
-2.65824,-0.77175,0.0
-2.65824,-0.74316,0.0
-2.65824,-0.71458,0.0
-2.65824,-0.686,0.0
-2.65824,-0.65741,0.0
-2.65824,-0.62883,0.0
-2.65824,-0.60025,0.0
-2.65824,-0.57166,0.0
-2.65824,-0.54308,0.0
-2.65824,-0.5145,0.0
-2.65824,-0.48591,0.0
-2.65824,-0.45733,0.0
-2.65824,-0.42875,0.0
-2.65824,-0.40016,0.0
-2.65824,-0.37158,0.0
-2.65824,-0.343,0.0
-2.65824,-0.31442,0.0
-2.65824,-0.28583,0.0
-2.65824,-0.25725,0.0
-2.65824,-0.22867,0.0
-2.65824,-0.20008,0.0
-2.65824,-0.1715,0.0
-2.65824,-0.14292,0.0
-2.65824,-0.11433,0.0
-2.65824,-0.08575,0.0
-2.65824,-0.05717,0.0
-2.65824,-0.02858,0.0
-2.65824,0,0.0
-2.65824,0.02858,0.0
-2.65824,0.05717,0.0
-2.65824,0.08575,0.0
-2.65824,0.11433,0.0
-2.65824,0.14292,0.0
-2.65824,0.1715,0.0
-2.65824,0.20008,0.0
-2.65824,0.22867,0.0
-2.65824,0.25725,0.0
-2.65824,0.28583,0.0
-2.65824,0.31442,0.0
-2.65824,0.343,0.0
-2.65824,0.37158,0.0
-2.65824,0.40016,0.0
-2.65824,0.42875,0.0
-2.65824,0.45733,0.0
-2.65824,0.48591,0.0
-2.65824,0.5145,0.0
-2.65824,0.54308,0.0
-2.65824,0.57166,0.0
-2.65824,0.60025,0.0
-2.65824,0.62883,0.0
-2.65824,0.65741,0.0
-2.65824,0.686,0.0
-2.65824,0.71458,0.0
-2.65824,0.74316,0.0
-2.65824,0.77175,0.0
-2.65824,0.80033,0.0
-2.65824,0.82891,0.0
-2.65824,0.8575,0.0
-2.62965,-0.94325,0.0
-2.62965,-0.91466,0.0
-2.62965,-0.88608,0.0
-2.62965,-0.8575,0.0
-2.62965,-0.82891,0.0
-2.62965,-0.80033,0.0
-2.62965,-0.77175,0.0
-2.62965,-0.74316,0.0
-2.62965,-0.71458,0.0
-2.62965,-0.686,0.0
-2.62965,-0.65741,0.0
-2.62965,-0.62883,0.0
-2.62965,-0.60025,0.0
-2.62965,-0.57166,0.0
-2.62965,-0.54308,0.0
-2.62965,-0.5145,0.0
-2.62965,-0.48591,0.0
-2.62965,-0.45733,0.0
-2.62965,-0.42875,0.0
-2.62965,-0.40016,0.0
-2.62965,-0.37158,0.0
-2.62965,-0.343,0.0
-2.62965,-0.31442,0.0
-2.62965,-0.28583,0.0
-2.62965,-0.25725,0.0
-2.62965,-0.22867,0.0
-2.62965,-0.20008,0.0
-2.62965,-0.1715,0.0
-2.62965,-0.14292,0.0
-2.62965,-0.11433,0.0
-2.62965,-0.08575,0.0
